sample_id,language,speaker_num,sex,age,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_english_residence_years,has_ipa,page_url,audio_url,tier,selection_note
hindi19,hindi,19,male,19.0,"irving, texas, usa",hindi,german japanese latin old english,0.0,naturalistic,usa,19.0,False,https://accent.gmu.edu/samples/hindi19/,https://accent.gmu.edu/audio/hindi19.mp3,relaxed_residence,residence 19y (over 5y threshold)
hindi3,hindi,3,male,42.0,"jalandhar, india",hindi,punjabi urdu,5.0,academic,usa,25.0,True,https://accent.gmu.edu/samples/hindi3/,https://accent.gmu.edu/audio/hindi3.mp3,relaxed_residence,residence 25y (over 5y threshold)
hindi14,hindi,14,male,53.0,"new delhi, india",hindi,none,12.0,academic,usa,25.0,False,https://accent.gmu.edu/samples/hindi14/,https://accent.gmu.edu/audio/hindi14.mp3,relaxed_residence,residence 25y (over 5y threshold)
hindi4,hindi,4,female,28.0,"bhilwara, rajisthan, india",hindi,rajasthani gujarati punjabi tamil telugu,14.0,academic,usa,2.0,True,https://accent.gmu.edu/samples/hindi4/,https://accent.gmu.edu/audio/hindi4.mp3,primary,residence 2y
hindi6,hindi,6,female,27.0,"new delhi, india",hindi,punjabi,4.0,academic,usa,1.0,True,https://accent.gmu.edu/samples/hindi6/,https://accent.gmu.edu/audio/hindi6.mp3,primary,residence 1y
hindi15,hindi,15,female,23.0,"new delhi, india",hindi,german,1.0,naturalistic,usa,1.0,False,https://accent.gmu.edu/samples/hindi15/,https://accent.gmu.edu/audio/hindi15.mp3,primary,residence 1y
hindi30,hindi,30,female,37.0,"ludhiana, india",hindi,urdu punjabi,5.0,academic,usa,2.5,False,https://accent.gmu.edu/samples/hindi30/,https://accent.gmu.edu/audio/hindi30.mp3,primary,residence 2.5y
hindi12,hindi,12,female,25.0,"allahabad, india",hindi,none,4.0,academic,usa,4.0,False,https://accent.gmu.edu/samples/hindi12/,https://accent.gmu.edu/audio/hindi12.mp3,primary,residence 4y
hindi24,hindi,24,female,23.0,"jamshedpur, jharkhand, india",hindi,none,2.0,naturalistic,usa,0.5,False,https://accent.gmu.edu/samples/hindi24/,https://accent.gmu.edu/audio/hindi24.mp3,primary,residence 0.5y
hindi32,hindi,32,female,27.0,"new delhi, india",hindi,none,9.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/hindi32/,https://accent.gmu.edu/audio/hindi32.mp3,primary,residence 1y
