sample_id,language,speaker_num,sex,age,birth_place,native_language,other_languages,age_of_english_onset,english_learning_method,english_residence,length_english_residence_years,has_ipa,page_url,audio_url,tier,selection_note
dutch45,dutch,45,male,22.0,"sint niklaas, belgium",dutch,french latin german spanish hebrew,2.0,naturalistic,N/A,0.0,False,https://accent.gmu.edu/samples/dutch45/,https://accent.gmu.edu/audio/dutch45.mp3,primary,residence 0y
dutch18,dutch,18,male,23.0,"antwerp, belgium",dutch,french,14.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch18/,https://accent.gmu.edu/audio/dutch18.mp3,primary,residence 0y
dutch7,dutch,7,male,68.0,"amsterdam, netherlands",dutch,german french,10.0,academic,usa,4.0,True,https://accent.gmu.edu/samples/dutch7/,https://accent.gmu.edu/audio/dutch7.mp3,primary,residence 4y
dutch23,dutch,23,male,23.0,"antwerp, belgium",dutch,french german,13.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch23/,https://accent.gmu.edu/audio/dutch23.mp3,primary,residence 0y
dutch1,dutch,1,male,38.0,"nijmegen, netherlands",dutch,german,13.0,academic,uk,0.1,True,https://accent.gmu.edu/samples/dutch1/,https://accent.gmu.edu/audio/dutch1.mp3,primary,residence 0.1y
dutch12,dutch,12,male,36.0,"oosterbeek, netherlands",dutch,german french,10.0,academic,usa,0.5,True,https://accent.gmu.edu/samples/dutch12/,https://accent.gmu.edu/audio/dutch12.mp3,primary,residence 0.5y
dutch41,dutch,41,male,41.0,"deventer, netherlands",dutch,french german,13.0,academic,usa,3.0,True,https://accent.gmu.edu/samples/dutch41/,https://accent.gmu.edu/audio/dutch41.mp3,primary,residence 3y
dutch11,dutch,11,male,41.0,"brugge, belgium",dutch,french german italian czech,14.0,academic,usa,5.0,True,https://accent.gmu.edu/samples/dutch11/,https://accent.gmu.edu/audio/dutch11.mp3,relaxed_residence,residence 5y (over 5y threshold)
dutch48,dutch,48,male,50.0,"zwolle, netherlands",dutch,german french,12.0,academic,usa,6.0,False,https://accent.gmu.edu/samples/dutch48/,https://accent.gmu.edu/audio/dutch48.mp3,relaxed_residence,residence 6y (over 5y threshold)
dutch15,dutch,15,male,23.0,"nunspeet, netherlands",dutch,afrikaans low saxon,10.0,naturalistic,south africa,9.0,True,https://accent.gmu.edu/samples/dutch15/,https://accent.gmu.edu/audio/dutch15.mp3,relaxed_residence,residence 9y (over 5y threshold)
dutch24,dutch,24,female,23.0,"seoul, south korea",dutch,none,14.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch24/,https://accent.gmu.edu/audio/dutch24.mp3,primary,residence 0y
dutch54,dutch,54,female,28.0,"ghent, belgium",dutch,none,14.0,academic,usa,0.2,False,https://accent.gmu.edu/samples/dutch54/,https://accent.gmu.edu/audio/dutch54.mp3,primary,residence 0.2y
dutch13,dutch,13,female,33.0,"zwolle, netherlands",dutch,german spanish chinese,10.0,academic,usa,0.5,True,https://accent.gmu.edu/samples/dutch13/,https://accent.gmu.edu/audio/dutch13.mp3,primary,residence 0.5y
dutch22,dutch,22,female,23.0,"essen, belgium",dutch,french german,13.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch22/,https://accent.gmu.edu/audio/dutch22.mp3,primary,residence 0y
dutch33,dutch,33,female,22.0,"mechelen, belgium",dutch,french,9.0,naturalistic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch33/,https://accent.gmu.edu/audio/dutch33.mp3,primary,residence 0y
dutch38,dutch,38,female,21.0,"beveren, belgium",dutch,french german,12.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch38/,https://accent.gmu.edu/audio/dutch38.mp3,primary,residence 0y
dutch36,dutch,36,female,21.0,"turnhout, belgium",dutch,french german swedish,12.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch36/,https://accent.gmu.edu/audio/dutch36.mp3,primary,residence 0y
dutch17,dutch,17,female,21.0,"wilrijk, belgium",dutch,french spanish german,12.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch17/,https://accent.gmu.edu/audio/dutch17.mp3,primary,residence 0y
dutch8,dutch,8,female,35.0,"alphen aan de ryn, netherlands",dutch,spanish german french,12.0,academic,usa,0.1,True,https://accent.gmu.edu/samples/dutch8/,https://accent.gmu.edu/audio/dutch8.mp3,primary,residence 0.1y
dutch47,dutch,47,female,37.0,"gouda, netherlands",dutch,german french italian spanish,11.0,academic,"usa, uk, australia, south africa",2.5,False,https://accent.gmu.edu/samples/dutch47/,https://accent.gmu.edu/audio/dutch47.mp3,primary,residence 2.5y
dutch16,dutch,16,female,23.0,"antwerp, belgium",dutch,french german,12.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch16/,https://accent.gmu.edu/audio/dutch16.mp3,primary,residence 0y
dutch27,dutch,27,female,21.0,"antwerp, belgium",dutch,french german,13.0,academic,usa,1.0,True,https://accent.gmu.edu/samples/dutch27/,https://accent.gmu.edu/audio/dutch27.mp3,primary,residence 1y
dutch26,dutch,26,female,23.0,"turnhout, belgium",dutch,french german italian,13.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch26/,https://accent.gmu.edu/audio/dutch26.mp3,primary,residence 0y
dutch44,dutch,44,female,21.0,"antwerp, belgium",dutch,german french spanish,12.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/dutch44/,https://accent.gmu.edu/audio/dutch44.mp3,primary,residence 0y
dutch21,dutch,21,female,21.0,"diest, belgium",dutch,french,13.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch21/,https://accent.gmu.edu/audio/dutch21.mp3,primary,residence 0y
dutch19,dutch,19,female,22.0,"heist-op-den-berg, belgium",dutch,french spanish,11.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch19/,https://accent.gmu.edu/audio/dutch19.mp3,primary,residence 0y
dutch31,dutch,31,female,23.0,"antwerp, belgium",dutch,french,13.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch31/,https://accent.gmu.edu/audio/dutch31.mp3,primary,residence 0y
dutch9,dutch,9,female,68.0,"almelo, netherlands",dutch,german french,12.0,academic,usa,3.0,True,https://accent.gmu.edu/samples/dutch9/,https://accent.gmu.edu/audio/dutch9.mp3,primary,residence 3y
dutch46,dutch,46,female,22.0,"hulshout, belgium",dutch,french german,12.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/dutch46/,https://accent.gmu.edu/audio/dutch46.mp3,primary,residence 0y
dutch14,dutch,14,female,35.0,"zwolle, netherlands",dutch,german french italian,12.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/dutch14/,https://accent.gmu.edu/audio/dutch14.mp3,primary,residence 0y
mandarin89,mandarin,89,male,19.0,"taiyuan, shanxi, china",mandarin,none,12.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/mandarin89/,https://accent.gmu.edu/audio/mandarin89.mp3,primary,residence 1y
mandarin30,mandarin,30,male,27.0,"taipei, taiwan",mandarin,none,13.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/mandarin30/,https://accent.gmu.edu/audio/mandarin30.mp3,primary,residence 1y
mandarin9,mandarin,9,male,38.0,"shanghai, china",mandarin,none,12.0,academic,usa,2.0,True,https://accent.gmu.edu/samples/mandarin9/,https://accent.gmu.edu/audio/mandarin9.mp3,primary,residence 2y
mandarin68,mandarin,68,male,23.0,"dongyang, zhejiang, china",mandarin,none,10.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/mandarin68/,https://accent.gmu.edu/audio/mandarin68.mp3,primary,residence 0y
mandarin88,mandarin,88,male,23.0,"anqing, anhui, china",mandarin,japanese,8.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/mandarin88/,https://accent.gmu.edu/audio/mandarin88.mp3,primary,residence 0y
mandarin50,mandarin,50,male,25.0,"hsinchu, taiwan",mandarin,taiwanese,9.0,academic,usa,0.2,False,https://accent.gmu.edu/samples/mandarin50/,https://accent.gmu.edu/audio/mandarin50.mp3,primary,residence 0.2y
mandarin69,mandarin,69,male,22.0,"taizhou, jiangsu, china",mandarin,german,12.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/mandarin69/,https://accent.gmu.edu/audio/mandarin69.mp3,primary,residence 0y
mandarin144,mandarin,144,male,20.0,"wuhu, anhui, china",mandarin,none,10.0,academic,usa,0.1,False,https://accent.gmu.edu/samples/mandarin144/,https://accent.gmu.edu/audio/mandarin144.mp3,primary,residence 0.1y
mandarin57,mandarin,57,male,20.0,"shanghai, china",mandarin,cantonese,12.0,academic,uk,0.2,False,https://accent.gmu.edu/samples/mandarin57/,https://accent.gmu.edu/audio/mandarin57.mp3,primary,residence 0.2y
mandarin91,mandarin,91,male,22.0,"tongcheng, anhui, china",mandarin,none,13.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/mandarin91/,https://accent.gmu.edu/audio/mandarin91.mp3,primary,residence 0y
mandarin80,mandarin,80,male,21.0,"xi’an, shanxi, china",mandarin,none,10.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/mandarin80/,https://accent.gmu.edu/audio/mandarin80.mp3,primary,residence 1y
mandarin17,mandarin,17,male,26.0,"wuhan, hubei, china",mandarin,none,13.0,academic,canada,2.0,True,https://accent.gmu.edu/samples/mandarin17/,https://accent.gmu.edu/audio/mandarin17.mp3,primary,residence 2y
mandarin123,mandarin,123,male,21.0,"chengdu, sichuan, china",mandarin,none,6.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/mandarin123/,https://accent.gmu.edu/audio/mandarin123.mp3,primary,residence 1y
mandarin44,mandarin,44,male,21.0,"hangzhou, zhejiang, china",mandarin,none,16.0,academic,usa,1.5,False,https://accent.gmu.edu/samples/mandarin44/,https://accent.gmu.edu/audio/mandarin44.mp3,primary,residence 1.5y
mandarin10,mandarin,10,male,19.0,"beijing, china",mandarin,none,3.0,academic,south africa,3.75,True,https://accent.gmu.edu/samples/mandarin10/,https://accent.gmu.edu/audio/mandarin10.mp3,primary,residence 3.75y
mandarin113,mandarin,113,male,29.0,"hohhot, inner mongolia, china",mandarin,none,10.0,academic,usa,0.8,False,https://accent.gmu.edu/samples/mandarin113/,https://accent.gmu.edu/audio/mandarin113.mp3,primary,residence 0.8y
mandarin51,mandarin,51,male,25.0,"tianjin, hebei, china",mandarin,none,10.0,academic,usa,2.0,True,https://accent.gmu.edu/samples/mandarin51/,https://accent.gmu.edu/audio/mandarin51.mp3,primary,residence 2y
mandarin126,mandarin,126,male,24.0,"yulin, shanxi, china",mandarin,italian,8.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/mandarin126/,https://accent.gmu.edu/audio/mandarin126.mp3,primary,residence 2y
mandarin27,mandarin,27,male,18.0,"chengdu, sichuan, china",mandarin,none,15.0,academic,usa,3.0,True,https://accent.gmu.edu/samples/mandarin27/,https://accent.gmu.edu/audio/mandarin27.mp3,primary,residence 3y
mandarin112,mandarin,112,male,26.0,"tianjin, china",mandarin,none,6.0,academic,usa,0.8,False,https://accent.gmu.edu/samples/mandarin112/,https://accent.gmu.edu/audio/mandarin112.mp3,primary,residence 0.8y
mandarin147,mandarin,147,female,19.0,"nanyang, henan, china",mandarin,none,9.0,academic,usa,0.1,False,https://accent.gmu.edu/samples/mandarin147/,https://accent.gmu.edu/audio/mandarin147.mp3,primary,residence 0.1y
mandarin42,mandarin,42,female,47.0,"yanbian, jilin, china",mandarin,none,16.0,academic,N/A,0.0,True,https://accent.gmu.edu/samples/mandarin42/,https://accent.gmu.edu/audio/mandarin42.mp3,primary,residence 0y
mandarin41,mandarin,41,female,34.0,"songyuan, jilin, china",mandarin,none,13.0,academic,N/A,0.0,False,https://accent.gmu.edu/samples/mandarin41/,https://accent.gmu.edu/audio/mandarin41.mp3,primary,residence 0y
mandarin118,mandarin,118,female,24.0,"xi’an, shanxi, china",mandarin,none,9.0,academic,usa,1.0,False,https://accent.gmu.edu/samples/mandarin118/,https://accent.gmu.edu/audio/mandarin118.mp3,primary,residence 1y
mandarin25,mandarin,25,female,28.0,"wuxi, jiangsu, china",mandarin,german,13.0,academic,usa,0.8,True,https://accent.gmu.edu/samples/mandarin25/,https://accent.gmu.edu/audio/mandarin25.mp3,primary,residence 0.8y
mandarin154,mandarin,154,female,22.0,"taipei, taiwan",mandarin,none,4.0,academic,usa,0.2,False,https://accent.gmu.edu/samples/mandarin154/,https://accent.gmu.edu/audio/mandarin154.mp3,primary,residence 0.2y
mandarin38,mandarin,38,female,33.0,"changsha, hunan, china",mandarin,none,12.0,academic,"australia, usa",0.1,False,https://accent.gmu.edu/samples/mandarin38/,https://accent.gmu.edu/audio/mandarin38.mp3,primary,residence 0.1y
mandarin104,mandarin,104,female,29.0,"beijing, china",mandarin,none,7.0,academic,usa,2.0,False,https://accent.gmu.edu/samples/mandarin104/,https://accent.gmu.edu/audio/mandarin104.mp3,primary,residence 2y
mandarin138,mandarin,138,female,21.0,"chongqing, china",mandarin,none,7.0,academic,usa,0.1,False,https://accent.gmu.edu/samples/mandarin138/,https://accent.gmu.edu/audio/mandarin138.mp3,primary,residence 0.1y
